ID,Title,Description,Video URL,Thumbnail URL,Subject,Grade,Chapter,Difficulty,Sort Order
1,01不等式 ,介绍不等式的基本概念和性质,undefined,https://youtu.be/G45fWwMRtbk,数学,初中1,完整数,undefined,1
2,02不等式的性,学习不等式的基本性质和运算规则,undefined,https://youtu.be/iR_syOmlrN4,数学,初中1,完整数,undefined,2
3,03不等式的解集,掌握一元一次不等式的解法,undefined,https://youtu.be/yhM5_nYZ-3s,数学,初中1,完整数,undefined,3
4,04解一元一次不等式,学习一元一次不等式组的解法,undefined,https://youtu.be/jFfqNF5OAps,数学,初中1,完整数,undefined,4
5,05一次函数与不等式,用数轴和图形表示不等式的解集,undefined,https://youtu.be/VYEdUgWTigs,数学,初中1,完整数,undefined,5
6,06用函数的点解不等式,解决包含绝对值的不等式问题,undefined,https://youtu.be/4U5I2na5BgU,数学,初中1,完整数,undefined,6
7,07解一元一次不等式,学习分式不等式的解法和注意事项,undefined,https://youtu.be/kfj_ZqF1gfc,数学,初中1,完整数,undefined,7
8,08解常数含参的不等式 ,不等式在实际问题中的应用,undefined,https://youtu.be/3oUCk5muxSg,数学,初中1,完整数,undefined,8
9,09解系数含参的不等式,综合练习各种类型的不等式问题,undefined,https://youtu.be/BB5lMlGg1is,数学,初中1,完整数,undefined,9
10,10含参不等式,复习总结不等式的所有知识点,undefined,https://youtu.be/j-C-WEbeAbk,数学,初中1,完整数,undefined,10
11,11含参方程和不等式合,,,https://youtu.be/vS-4XPygKs0,数学,初中1,完整数,undefined,11
12,12含参方程与不等式合2,,,https://youtu.be/ZnibMK9pV88,数学,初中1,完整数,undefined,12